source	key	candidate	revision	digest	census	licence_screen	revision_screen	fern_screen	disposition	record
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/meta/import/output-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	3d238afcf5ede4dc3d22870e238ff3c1891a22d150e7edf8f8566918e86eb7bb	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:9
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/meta/import/output-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	3d238afcf5ede4dc3d22870e238ff3c1891a22d150e7edf8f8566918e86eb7bb	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:10
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/openapi.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	3d238afcf5ede4dc3d22870e238ff3c1891a22d150e7edf8f8566918e86eb7bb	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:11
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/zulip.com/zulip/1.0.0/meta/import/input-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	cffb1099324cf988418c58876f9bc69a0fb84e887923d771e61cb5a5c9895a6d	4	pass	pass	pass	rejected	witness-search-jentic/records.tsv:12
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/zulip.com/zulip/1.0.0/meta/import/input-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	e7f6eb40cfb673e64fd5119e37697e67e62e8970b92832eb13a4ecb3185195cf	4	pass	pass	pass	rejected	witness-search-jentic/records.tsv:13
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/zulip.com/zulip/1.0.0/meta/import/output-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	cffb1099324cf988418c58876f9bc69a0fb84e887923d771e61cb5a5c9895a6d	4	pass	pass	pass	rejected	witness-search-jentic/records.tsv:14
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/zulip.com/zulip/1.0.0/meta/import/output-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	e7f6eb40cfb673e64fd5119e37697e67e62e8970b92832eb13a4ecb3185195cf	4	pass	pass	pass	rejected	witness-search-jentic/records.tsv:15
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/zulip.com/zulip/1.0.0/openapi.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	cffb1099324cf988418c58876f9bc69a0fb84e887923d771e61cb5a5c9895a6d	4	pass	pass	pass	rejected	witness-search-jentic/records.tsv:16
vendor-portals	annotated-ref-target-closed-object	https://raw.githubusercontent.com/zulip/zulip/6a82f40579f8adb9149aa0b04ff795c397baae73/zerver/openapi/zulip.yaml	6a82f40579f8adb9149aa0b04ff795c397baae73	486c52ec40e74e3f1bfc78534b726db9bcb3f1cf8f6fc3df4981733708fddd10	6	pass	pass	pass	pending-registration	witness-search-vendor-portals/records.tsv:3
apis.guru	annotated-ref-target-composed	https://api.apis.guru/v2/specs/asana.com/1.0/openapi.yaml	no-immutable-ref: served catalogue version URL is mutable; pinned YAML fallback recorded separately	4ce2c6eafa40cc6e3d40c1b2534cb95fd0d8511902a7cdb00a8c4847b239510d	2	pass	failed: aggregation pin does not establish publisher-byte provenance	not-run: revision screen failed	rejected	witness-search-apis.guru/records.tsv:4
apis.guru	annotated-ref-target-composed	https://api.apis.guru/v2/specs/box.com/2.0.0/openapi.yaml	no-immutable-ref: served catalogue version URL is mutable; pinned YAML fallback recorded separately	8fdc22ddf19d734dd3372a5545324ac43eae55e169651e22bb31b85f0623bc9e	34	pass	failed: aggregation pin does not establish publisher-byte provenance	not-run: revision screen failed	rejected	witness-search-apis.guru/records.tsv:5
apis.guru	annotated-ref-target-composed	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/asana.com/1.0/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	4ce2c6eafa40cc6e3d40c1b2534cb95fd0d8511902a7cdb00a8c4847b239510d	2	pass	failed: aggregation pin does not establish publisher-byte provenance	not-run: revision screen failed	rejected	witness-search-apis.guru/records.tsv:6
apis.guru	annotated-ref-target-composed	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/box.com/2.0.0/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	8fdc22ddf19d734dd3372a5545324ac43eae55e169651e22bb31b85f0623bc9e	34	pass	failed: aggregation pin does not establish publisher-byte provenance	not-run: revision screen failed	rejected	witness-search-apis.guru/records.tsv:7
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/box/box-openapi/933ec4c5d9f4dbdaaa823efa3a083cf177aecbde/openapi.json	933ec4c5d9f4dbdaaa823efa3a083cf177aecbde	0f8794edec1caf44761777f791b36388ec997f4220233a1a0166712e0d3b0a06	35	pass	pass	not-run: key closed by found witness jentic/apis/openapi/groupe-psa.io/main/3.19.2/meta/import/input-entry.json	not-owed	witness-search-vendor-portals/records.tsv:4
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/box/box-openapi/933ec4c5d9f4dbdaaa823efa3a083cf177aecbde/openapi/openapi-v2025.0.json	933ec4c5d9f4dbdaaa823efa3a083cf177aecbde	9f37dde8f412d11a880414238129f9642ad18d4f0247aa46fe96ec1f8995c6eb	4	pass	pass	not-run: key closed by found witness jentic/apis/openapi/groupe-psa.io/main/3.19.2/meta/import/input-entry.json	not-owed	witness-search-vendor-portals/records.tsv:5
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/box/box-openapi/933ec4c5d9f4dbdaaa823efa3a083cf177aecbde/openapi/openapi-v2026.0.json	933ec4c5d9f4dbdaaa823efa3a083cf177aecbde	78bc4bfbfc21f2420d70d682a2f8e41e76ee4c4f29d986e9ce672b9087bbdc4a	1	pass	pass	not-run: key closed by found witness jentic/apis/openapi/groupe-psa.io/main/3.19.2/meta/import/input-entry.json	not-owed	witness-search-vendor-portals/records.tsv:6
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/box/box-openapi/933ec4c5d9f4dbdaaa823efa3a083cf177aecbde/openapi/openapi.json	933ec4c5d9f4dbdaaa823efa3a083cf177aecbde	0f8794edec1caf44761777f791b36388ec997f4220233a1a0166712e0d3b0a06	35	pass	pass	not-run: key closed by found witness jentic/apis/openapi/groupe-psa.io/main/3.19.2/meta/import/input-entry.json	not-owed	witness-search-vendor-portals/records.tsv:7
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/json/Codat-Accounting.json	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	129358af62b047bbb3d2f970976b616d8c54a17adca5b794e79bdc13663bca43	26	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:8
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/json/Codat-Lending.json	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	7c222046bb62600149a4ce0c4bf369bd751ae8298588223e531cea3795df4a42	7	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:9
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/json/Codat-Sync-Commerce-v1.json	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	54066e33d9dd58e2ef592000126257e5458bc772a18aabdac840bcf66d96130b	8	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:10
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/json/Codat-Sync-Expenses.json	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	4c54c56dc4ad7587aa52aa9d97353bfe59a9656ad88aef170771abf0f84c7b41	7	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:11
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/json/Codat-Sync-Payables-v1.json	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	d6ffa5382500d581582736220f6677ce7404e5890553d6a7ec3a4d574787cfac	11	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:12
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/json/Codat-Sync-Payroll.json	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	a7ac3cd8999d62d866c7d834b7e310517f5a8111bb0f0d117614cef83a662151	3	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:13
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/yaml/Codat-Accounting.yaml	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	21d41189c4618259114f2fbb5c5890a59efa2a16970108379c11dd1fe7397290	26	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:14
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/yaml/Codat-Lending.yaml	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	791e242d1fafa6fb4f7c8c053f6a77244ce74dd23eaade694a41b8070d5ae5e4	7	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:15
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/yaml/Codat-Sync-Commerce-v1.yaml	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	22dbd11586e66143988a70d2e9d9afd78f03fbcad83282384e81aecedab83ae7	8	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:16
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/yaml/Codat-Sync-Expenses.yaml	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	3a810b6f9c6655587a8492aa9c6216f43bf22b7d666eee2707b1fc2ff8c86f65	7	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:17
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/yaml/Codat-Sync-Payables-v1.yaml	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	06163dffa75f6bc1933c68f1aaeac70f3feb7cf69f509bd4c921052c92391e73	11	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:18
vendor-portals	annotated-ref-target-composed	https://raw.githubusercontent.com/codatio/oas/2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b/yaml/Codat-Sync-Payroll.yaml	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	aa198f328aac7052a36448919b5eae9307a26861b8e9c5af149b0d9c399d403f	3	failed: no admitted publisher licence; info.license=none (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:19
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/asana.com/main/1.0/meta/import/input-bundled.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	e5dabbfdc140fbc4cacf98c13c5c3053c2ecdfe2aaad17f328f2541811ff0204	2	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:17
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/asana.com/main/1.0/meta/import/input-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	2a4b51979d70a405e659ee6f47c8cf8e1e0da1ef965d6cd7b06ba67c45622ef7	2	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:18
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/asana.com/main/1.0/meta/import/output-bundled.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	e5dabbfdc140fbc4cacf98c13c5c3053c2ecdfe2aaad17f328f2541811ff0204	2	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:19
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/asana.com/main/1.0/meta/import/output-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	2a4b51979d70a405e659ee6f47c8cf8e1e0da1ef965d6cd7b06ba67c45622ef7	2	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:20
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/asana.com/main/1.0/openapi.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	e5dabbfdc140fbc4cacf98c13c5c3053c2ecdfe2aaad17f328f2541811ff0204	2	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:21
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/box.com/main/2024.0/meta/import/input-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	45a13f61a9904a6eeca7f56ade1263e9fd85050c788887d2a59631884ee5bdb5	35	pass	pass	failed: concrete diagnostic below	rejected	witness-search-jentic/records.tsv:22
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/box.com/main/2024.0/meta/import/input-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	45a13f61a9904a6eeca7f56ade1263e9fd85050c788887d2a59631884ee5bdb5	35	pass	pass	failed: concrete diagnostic below	rejected	witness-search-jentic/records.tsv:23
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/box.com/main/2024.0/meta/import/output-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	45a13f61a9904a6eeca7f56ade1263e9fd85050c788887d2a59631884ee5bdb5	35	pass	pass	failed: concrete diagnostic below	rejected	witness-search-jentic/records.tsv:24
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/box.com/main/2024.0/meta/import/output-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	45a13f61a9904a6eeca7f56ade1263e9fd85050c788887d2a59631884ee5bdb5	35	pass	pass	failed: concrete diagnostic below	rejected	witness-search-jentic/records.tsv:25
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/box.com/main/2024.0/openapi.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	45a13f61a9904a6eeca7f56ade1263e9fd85050c788887d2a59631884ee5bdb5	35	pass	pass	failed: concrete diagnostic below	rejected	witness-search-jentic/records.tsv:26
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/codat.io/accounting/3.0.0/meta/import/input-bundled.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	cbc03a05256430df93c896474d904e57ca61c90f6e45d28e648b0d368b6e39e0	26	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:27
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/codat.io/accounting/3.0.0/meta/import/input-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	1d2b559f3b1cfae709c645f2924cd1b9881328a32722f80af6e09f1512e56238	26	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:28
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/codat.io/accounting/3.0.0/meta/import/output-bundled.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	cbc03a05256430df93c896474d904e57ca61c90f6e45d28e648b0d368b6e39e0	26	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:29
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/codat.io/accounting/3.0.0/meta/import/output-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	1d2b559f3b1cfae709c645f2924cd1b9881328a32722f80af6e09f1512e56238	26	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:30
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/codat.io/accounting/3.0.0/openapi.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	cbc03a05256430df93c896474d904e57ca61c90f6e45d28e648b0d368b6e39e0	26	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:31
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/cvent.com/main/ea/meta/import/input-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	98656898881da1d0fe3296de3e1d39d7d4cb48698b0a6f5893e9e857eef875a3	6	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:32
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/cvent.com/main/ea/meta/import/output-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	98656898881da1d0fe3296de3e1d39d7d4cb48698b0a6f5893e9e857eef875a3	6	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:33
jentic	annotated-ref-target-composed	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/cvent.com/main/ea/openapi.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	98656898881da1d0fe3296de3e1d39d7d4cb48698b0a6f5893e9e857eef875a3	6	failed: aggregation grant admitted; publisher grant unproven (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:34
