key	source	phrasing
anyof-array-variant-composed-item	sourcegraph	file:(openapi|swagger).*\.(yaml|yml)$ content:"anyOf:" content:"items:" content:"allOf:" content:"type: array" count:all type:file
anyof-array-variant-composed-item	sourcegraph	file:(openapi|swagger).*\.json$ content:"\"anyOf\"" content:"\"items\"" content:"\"allOf\"" content:"\"array\"" count:all type:file
oneof-discriminated-union	github-code-search	"oneOf:" "discriminator:" "type: array" "items:" filename:openapi.yaml
oneof-discriminated-union	github-code-search	"\"oneOf\"" "\"discriminator\"" "\"array\"" "\"items\"" filename:openapi.json
oneof-discriminated-union	sourcegraph	file:(openapi|swagger).*\.(yaml|yml)$ content:"oneOf:" content:"discriminator:" content:"type: array" count:all type:file
oneof-discriminated-union	sourcegraph	file:(openapi|swagger).*\.json$ content:"\"oneOf\"" content:"\"discriminator\"" content:"\"array\"" count:all type:file
anyof-allof-variant	github-code-search	"anyOf:" "allOf:" "requestBody:" filename:openapi.yaml
anyof-allof-variant	github-code-search	"\"anyOf\"" "\"allOf\"" "\"requestBody\"" filename:openapi.json
anyof-allof-variant	sourcegraph	file:(openapi|swagger).*\.(yaml|yml)$ content:"anyOf:" content:"allOf:" content:"requestBody:" count:all type:file
anyof-allof-variant	sourcegraph	file:(openapi|swagger).*\.json$ content:"\"anyOf\"" content:"\"allOf\"" content:"\"responses\"" count:all type:file
anyof-oneof-variant	github-code-search	"anyOf:" "- oneOf:" "requestBody:" filename:openapi.yaml
anyof-oneof-variant	github-code-search	"\"anyOf\"" "\"oneOf\"" "\"requestBody\"" filename:openapi.json
anyof-oneof-variant	sourcegraph	file:(openapi|swagger).*\.(yaml|yml)$ content:"anyOf:" content:"- oneOf:" count:all type:file
anyof-oneof-variant	sourcegraph	file:(openapi|swagger).*\.json$ content:"\"anyOf\": [" content:"{\"oneOf\"" count:all type:file
media-type-key-parameters	github-code-search	"application/json; charset=utf-8" "requestBody:" filename:openapi.yaml
media-type-key-parameters	github-code-search	"application/json; charset=utf-8" "\"requestBody\"" filename:openapi.json
media-type-key-parameters	sourcegraph	file:(openapi|swagger).*\.(yaml|yml)$ content:"application/json; charset=utf-8:" count:all type:file
media-type-key-parameters	sourcegraph	file:(openapi|swagger).*\.json$ content:"\"application/json; charset=utf-8\"" count:all type:file
format-uri-template	github-code-search	"format: uri-template" "requestBody:" filename:openapi.yaml
format-uri-template	github-code-search	"\"uri-template\"" "\"requestBody\"" filename:openapi.json
format-uri-template	sourcegraph	file:(openapi|swagger).*\.(yaml|yml)$ content:"format: uri-template" count:all type:file
format-uri-template	sourcegraph	file:(openapi|swagger).*\.json$ content:"\"format\": \"uri-template\"" count:all type:file
