repository	pinned_ref	prior_path	derivation	acquisition
docker/docker-py	afc6d1ee308e78b908b96a94298c37fa8c465588	docs/api.md	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
drakkan/sftpgo	c737df6cd42ef375bf51a2d0a04ea2b1ab9f8842	openapi/openapi.yaml	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
dropbox/dropbox-api-spec	6d985dfaf901f1a909aa5e268bcfa524b0b7966e	files.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
elevenlabs/elevenlabs-docs	no-immutable-ref: GitHub REST commits/main returned HTTP 404 at 2026-09-24T07:30:39+00:00	fern/apis/api/openapi.json	prior portal source list (catalogue-portals-sources.tsv)	source-refused
github/rest-api-description	3cef12e8a02d612ad032473d4fb87266f2befeae	descriptions/api.github.com/api.github.com.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
gotson/komga	656001eb03bf8b54ca909f3e74fe2ec1b95dac48	komga/docs/openapi.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
intercom/Intercom-OpenAPI	3d5adcb2eeb0df209d83035c2f5bc69c932b2644	descriptions/2.11/api.intercom.io.yaml	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
kubernetes/kubernetes	b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe	api/openapi-spec/v3/apis__apps__v1_openapi.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
mongodb/openapi	20d74e290115694fd3efd36e2f1cd46869bc8483	openapi/v2.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
openai/openai-openapi	b53b169f44dc0fbf878db3f9a1d3b66f43831f8d	openapi.yaml	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
stripe/openapi	58e06a3214ae1574600fba64d40b770e5da6d505	openapi/spec3.json	prior portal source list (catalogue-portals-sources.tsv); registered corpus and APIs.guru declarers	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
traccar/traccar	b15554cf3f9808dc462d412834896fe0634a4e0e	openapi.yaml	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
twilio/twilio-oai	ef1d81e7b6e49e602530601e913eedc21aedd6da	spec/yaml/twilio_api_v2010.yaml	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
webflow/openapi-spec	f6db607359a412dd6aa6cd304674731d7f2dbe10	openapi/v2.yml	prior portal source list (catalogue-portals-sources.tsv); registered corpus and APIs.guru declarers	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
codatio/oas	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	json/Codat-Accounting.json	APIs.guru Codat declarer and earlier publisher trace	acquired
PandaScore developer portal	no-immutable-ref: https://api.pandascore.co/openapi.json is a mutable live endpoint	https://api.pandascore.co/openapi.json	APIs.guru PandaScore declarer and earlier publisher trace	acquired-mutable
zulip/zulip	6a82f40579f8adb9149aa0b04ff795c397baae73	zerver/openapi/zulip.yaml	jentic declarer and Zulip API portal (https://zulip.com/api/rest)	acquired
