key	selectors	sites	note
media-type-event-stream	fixture=sse-streaming,fixture=maif.local-otoroshi,fixture=electric-sql,fixture=letta,fixture=exa-gate	src/ir.rs::is_streaming,src/ir.rs::stream_chunk_type	
media-type-malformed-key	fixture=eozilla,fixture=free5gc-pdu-session,fixture=anchore.io	src/ir.rs::has_dispatchable_media	
encoding-content-type	mediaType.encoding.contentType	src/ir.rs::hoist_form_object,src/emit.rs::append_request_call_args[if let Some\(content_type\) = &f\.form_content_type]	
encoding-headers	mediaType.encoding.headers	none	
encoding-style	mediaType.encoding.style	none	
response-status-literal	operation.responses	src/ir.rs::success_response_entry,src/ir.rs::resolve_errors,src/ir.rs::error_class_name	`success_response_key` is the stream-condition split's helper, not a status-code read
range-2XX	fixture=sigstore-rekor	src/ir.rs::uses_codegen_request_body_name,src/ir.rs::has_bodyless_success	
response-default	operation.responses.default	src/ir.rs::success_response_entry[=code\.as_str\(\) == "default"]	`success_response_key` is the stream-condition split's helper; this row's arm is `success_response_entry`'s `default` fallback
response-description	response.description	src/ir.rs::success_response_doc	
response-headers	response.headers	none	
response-content	response.content	src/ir.rs::response_schema,src/ir.rs::success_response_schema,src/ir.rs::error_body_type,src/openapi.rs::response_schemas	
response-links	response.links	none	
components-responses	components.responses	src/openapi.rs::resolve_response,src/openapi.rs::normalize_responses,src/ir.rs::error_body_type[Some\(schema\) if resp\.reference\.is_none\(\) && is_inline_struct]	
link-operation-ref	link.operationRef	none	
link-operation-id	link.operationId	none	
link-parameters	link.parameters	none	
components-links	components.links	none	
callback-runtime-expression	operation.callbacks	none	
components-callbacks	components.callbacks	none	
document-info	openapi.info	none	`src/config.rs::default_package_name` names the package only when no `--package-name` is set, a generator setting rather than a document shape, and every corpus row sets one
document-servers	openapi.servers	src/ir.rs::environment_model,src/ir.rs::resolve_server_url,src/emit.rs::environment_file,src/emit.rs::EnvClientParts::new	
document-paths	openapi.paths	src/openapi.rs::deserialize_paths,src/ir.rs::endpoints[for \(path, item\) in &doc.paths \{],src/ir.rs::endpoint_modules	
document-components	openapi.components	src/ir.rs::build[for \(key, schema\) in &doc.components.schemas \{],src/ir.rs::resolve_ref	
document-security	openapi.security	src/ir.rs::all_operations_authenticated,src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
document-tags	openapi.tags	src/ir.rs::title_from_tag	
document-external-docs	openapi.externalDocs	none	
info-title	info.title	none	`src/config.rs::default_package_name` names the package only when no `--package-name` is set, a generator setting rather than a document shape, and every corpus row sets one
info-description	info.description	none	
info-terms-of-service	info.termsOfService	none	
info-contact	info.contact	none	
contact-name	info.contact.name	none	
contact-url	info.contact.url	none	
contact-email	info.contact.email	none	
info-license	info.license	none	
license-name	info.license.name	none	
license-url	info.license.url	none	
info-version	info.version	none	
server-url	server.url	src/ir.rs::resolve_server_url,src/ir.rs::environment_model,src/emit.rs::environment_file	
server-description	server.description	src/ir.rs::environment_model[\.and_then\(\x7cdescription\x7c \{]	
server-variables	server.variables	src/ir.rs::resolve_server_url[for \(name, var\) in &server.variables \{],src/ir.rs::environment_model[\.map\(\x7c\(name, variable\)\x7c ServerUrlVariable \{],src/ir.rs::server_variable_py_name,src/emit.rs::EnvClientParts::new	
server-variable-enum	server.variables.enum	none	
server-variable-default	server.variables.default	src/ir.rs::resolve_server_url[for \(name, var\) in &server.variables \{],src/ir.rs::percent_encode_server_variable,src/ir.rs::environment_model[\.map\(\x7c\(name, variable\)\x7c ServerUrlVariable \{],src/emit.rs::EnvClientParts::new[^\s*\} else \{]	
server-variable-description	server.variables.description	none	
pathitem-summary	pathItem.summary	none	
pathitem-description	pathItem.description	none	
pathitem-servers	pathItem.servers	none	
get-operation	pathItem.get	src/openapi.rs::PathItem::operations,src/openapi.rs::PathItem::operation_slots	
put-operation	pathItem.put	src/openapi.rs::PathItem::operations,src/openapi.rs::PathItem::operation_slots	
post-operation	pathItem.post	src/openapi.rs::PathItem::operations,src/openapi.rs::PathItem::operation_slots	
delete-operation	pathItem.delete	src/openapi.rs::PathItem::operations,src/openapi.rs::PathItem::operation_slots	
options-operation	pathItem.options	none	
head-operation	pathItem.head	src/openapi.rs::PathItem::operations,src/openapi.rs::PathItem::operation_slots	
patch-operation	pathItem.patch	src/openapi.rs::PathItem::operations,src/openapi.rs::PathItem::operation_slots	
operation-tags	operation.tags	src/ir.rs::first_tag,src/ir.rs::group_prefix_is_tag,src/ir.rs::first_segment_is_tag,src/ir.rs::title_from_tag,src/ir.rs::endpoint_module[^    if let Some\(tag\) = first_tag\(op\) \{]	
operation-summary	operation.summary	src/ir.rs::endpoint_method_name[\} else if id.is_empty\(\) \{],src/naming.rs::summary_identifier	
operation-description	operation.description	src/ir.rs::operation_doc,src/emit.rs::raw_docstring[if let Some\(summary\) = &ep.docstring \{]	
operation-external-docs	operation.externalDocs	none	
operation-id	operation.operationId	src/ir.rs::endpoint_method_name,src/ir.rs::endpoint_module,src/ir.rs::endpoint_pascal_context,src/openapi.rs::reject_unemittable_operation_ids	
operation-parameters	operation.parameters	src/openapi.rs::normalize_parameters,src/openapi.rs::resolve_parameter,src/openapi.rs::reject_unemittable_parameters	
operation-request-body	operation.requestBody	src/openapi.rs::normalize_request_bodies,src/openapi.rs::resolve_request_body,src/ir.rs::resolve_request_body	
operation-responses	operation.responses	src/openapi.rs::normalize_responses,src/openapi.rs::resolve_response,src/ir.rs::success_response_entry,src/ir.rs::resolve_errors	
operation-callbacks	operation.callbacks	none	
operation-deprecated	operation.deprecated	none	
operation-security	operation.security	src/ir.rs::all_operations_authenticated,src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
operation-servers	operation.servers	none	
tag-name	tag.name	src/ir.rs::title_from_tag	
tag-description	tag.description	none	
tag-external-docs	tag.externalDocs	none	
external-docs-description	externalDocs.description	none	
external-docs-url	externalDocs.url	none	
components-schemas	components.schemas	src/ir.rs::build[for \(key, schema\) in &doc.components.schemas \{],src/ir.rs::resolve_ref	
reference-ref	reference.$ref	src/ir.rs::resolve_ref,src/ir.rs::ref_to_class,src/openapi.rs::referenced_component_schema,src/refs.rs::Resolver::resolve_schema[if let Some\(reference\) = schema.reference.clone\(\) \{]	
templated-path-segment	openapi.paths:templated-key	src/ir.rs::path_template_expressions,src/ir.rs::build_endpoint[for name in path_template_expressions\(path\) \{],src/emit.rs::url_arg[if stripped.contains\('\{'\) \{]	
several-path-template-variables	openapi.paths:several-template-expressions	src/ir.rs::path_param_position,src/ir.rs::build_endpoint[path_params.sort_by\(\x7ca, b\x7c \{],src/emit.rs::url_arg[for pp in &ep.path_params \{]	
duplicate-normalized-paths	openapi.paths:normalized-collision	src/ir.rs::endpoints[if let Some\(index\) = out.iter\(\).position\(],src/ir.rs::synthesized_method_name	
pathitem-ref	pathItem.$ref	src/refs.rs::Resolver::resolve_path_item[if let Some\(reference\) = item.reference.clone\(\) \{],src/refs.rs::split_external,src/refs.rs::DocumentLocation::from_reference	
relative-file-ref	pathItem.$ref:relative-file	src/refs.rs::Resolver::resolve_path_item[if let DocumentLocation::Local\(file\) = &source_path \{],src/refs.rs::split_external,src/refs.rs::DocumentLocation::from_reference[match source \{]	
missing-operation-id	operation.operationId	src/ir.rs::endpoint_method_name[\} else if id.is_empty\(\) \{],src/ir.rs::synthesized_method_name,src/ir.rs::endpoint_pascal_context[if id.is_empty\(\) \{],src/ir.rs::module_title[if id.is_empty\(\) \{],src/ir.rs::endpoint_module[if id.is_empty\(\) && first_tag\(op\).is_none\(\) \{]	`src/ir.rs::path_group` is unreachable: `endpoint_module` returns before its last line for every operation, one with neither `operationId` nor tag at its first check, so no document takes it
duplicate-operation-id	operation.operationId:duplicate	src/ir.rs::endpoints[if let Some\(index\) = out.iter\(\).position\(],src/ir.rs::endpoints[tag_types.retain\(\x7ctag_type\x7c \{]	
non-identifier-operation-id	operation.operationId	src/openapi.rs::reject_unemittable_operation_ids,src/ir.rs::dotted_id_names_a_group,src/ir.rs::method_from_groupless_id,src/ir.rs::endpoint_module[if !id.is_empty\(\) \{]	
untagged-operation	operation.tags	src/ir.rs::endpoint_method_name[if first_tag\(op\).is_none\(\) \{],src/ir.rs::endpoint_module[if first_tag\(op\).is_none\(\) && !id.contains\('.'\) \{],src/ir.rs::endpoint_module[if id.is_empty\(\) && first_tag\(op\).is_none\(\) \{]	`src/ir.rs::path_group` is unreachable: `endpoint_module` returns before its last line for every operation, one with neither `operationId` nor tag at its first check, so no document takes it
multi-tagged-operation	operation.tags:multiple	src/ir.rs::first_tag	
path-leading-literal-segment	openapi.paths:leading-literal-segment	none	`src/ir.rs::path_group` is unreachable: `endpoint_module` returns before its last line for every operation, one with neither `operationId` nor tag at its first check, so no document takes it
path-template-before-literal-segment	openapi.paths:template-before-literal-segment	none	`src/ir.rs::path_group` is unreachable: `endpoint_module` returns before its last line for every operation, one with neither `operationId` nor tag at its first check, so no document takes it
path-all-segments-templated	openapi.paths:all-segments-templated	none	`src/ir.rs::path_group` is unreachable: `endpoint_module` returns before its last line for every operation, one with neither `operationId` nor tag at its first check, so no document takes it
openapi-version-field	openapi.openapi	none	`src/openapi.rs::load`'s empty-version and non-3 arms reject a document; one declaring a 3.x `openapi` never takes them
openapi-version-3.0.0	openapi.openapi=3.0	none	a 3.0 document takes crozier's default path: every version-conditional arm in `src/` is a 3.1 arm, and `src/openapi.rs::load`'s non-3 arm is a rejection
openapi-version-3.0.1	openapi.openapi=3.0	none	a 3.0 document takes crozier's default path: every version-conditional arm in `src/` is a 3.1 arm, and `src/openapi.rs::load`'s non-3 arm is a rejection
openapi-version-3.0.2	openapi.openapi=3.0	none	a 3.0 document takes crozier's default path: every version-conditional arm in `src/` is a 3.1 arm, and `src/openapi.rs::load`'s non-3 arm is a rejection
openapi-version-3.0.3	openapi.openapi=3.0	none	a 3.0 document takes crozier's default path: every version-conditional arm in `src/` is a 3.1 arm, and `src/openapi.rs::load`'s non-3 arm is a rejection
openapi-version-3.0.4	openapi.openapi=3.0	none	a 3.0 document takes crozier's default path: every version-conditional arm in `src/` is a 3.1 arm, and `src/openapi.rs::load`'s non-3 arm is a rejection
openapi-version-3.1.0	openapi.openapi=3.1	src/ir.rs::build_endpoint[if doc\.openapi\.starts_with\("3\.1"\) \{],src/emit.rs::raw_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{],src/emit.rs::client_stream_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{],src/emit.rs::client_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{]	`src/openapi.rs::load`'s non-3 arm rejects a document; a 3.1 document never takes it
openapi-version-3.1.1	openapi.openapi=3.1	src/ir.rs::build_endpoint[if doc\.openapi\.starts_with\("3\.1"\) \{],src/emit.rs::raw_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{],src/emit.rs::client_stream_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{],src/emit.rs::client_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{]	`src/openapi.rs::load`'s non-3 arm rejects a document; a 3.1 document never takes it
openapi-version-3.1.2	openapi.openapi=3.1	src/ir.rs::build_endpoint[if doc\.openapi\.starts_with\("3\.1"\) \{],src/emit.rs::raw_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{],src/emit.rs::client_stream_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{],src/emit.rs::client_docstring[if ep\.module\.is_empty\(\) && ep\.openapi_31 \{]	`src/openapi.rs::load`'s non-3 arm rejects a document; a 3.1 document never takes it
json-schema-dialect	openapi.jsonSchemaDialect	none	
webhooks	openapi.webhooks	src/ir.rs::build[for \(event.\sitem\) in &doc\.webhooks \{],src/ir.rs::stream_condition_body_source_names[for item in doc\.paths\.values\(\)\.chain\(doc\.webhooks\.values\(\)\) \{],src/ir.rs::standalone_referenced_classes[for item in doc\.paths\.values\(\)\.chain\(doc\.webhooks\.values\(\)\) \{],src/ir.rs::document_discriminant_strips[for item in doc\.paths\.values\(\)\.chain\(doc\.webhooks\.values\(\)\) \{]	
info-summary	info.summary	none	
license-identifier	info.license.identifier	none	
reference-description	reference.description	src/openapi.rs::resolve_parameter[if let Some\(target\) = defs\.get\(name\) \{]	
webhooks-without-paths	openapi.webhooks	src/ir.rs::build[for \(event.\sitem\) in &doc\.webhooks \{],src/ir.rs::stream_condition_body_source_names[for item in doc\.paths\.values\(\)\.chain\(doc\.webhooks\.values\(\)\) \{],src/ir.rs::standalone_referenced_classes[for item in doc\.paths\.values\(\)\.chain\(doc\.webhooks\.values\(\)\) \{],src/ir.rs::document_discriminant_strips[for item in doc\.paths\.values\(\)\.chain\(doc\.webhooks\.values\(\)\) \{],src/ir.rs::all_operations_authenticated[if !any \{],src/emit.rs::root_client_methods[if endpoints\.is_empty\(\) \{]	
paths-absent	openapi.paths	src/ir.rs::all_operations_authenticated[if !any \{],src/emit.rs::root_client_methods[if endpoints\.is_empty\(\) \{]	
paths-empty	openapi.paths	src/ir.rs::all_operations_authenticated[if !any \{],src/emit.rs::root_client_methods[if endpoints\.is_empty\(\) \{]	
extension-openapi	openapi.x-*	none	
extension-info	info.x-*	none	
extension-contact	info.contact.x-*	none	
extension-paths	openapi.paths.x-*	src/openapi.rs::deserialize_paths[if key\.starts_with\("x-"\) \{]	
extension-path-item	pathItem.x-*	none	
extension-operation	operation.x-*	src/openapi.rs::Operation::audiences,src/openapi.rs::Operation::ignored,src/openapi.rs::Operation::sdk_group_name,src/openapi.rs::Operation::sdk_method_name,src/openapi.rs::Operation::pagination,src/openapi.rs::Operation::streaming,src/ir.rs::uses_codegen_request_body_name	
extension-parameter	parameter.x-*	none	
extension-response	response.x-*	none	
extension-tag	tag.x-*	none	
extension-schema	schema.x-*	src/openapi.rs::Schema::ignored,src/openapi.rs::Schema::enum_member_names,src/ir.rs::resolve_request_body[return hoist_fields\(&class, types\)\.map\(\x7cmut fields\x7c \{]	
extension-security-scheme	securityScheme.x-*	none	
audience-dual-header-policy	operation.x-fern-audiences,operation.x-crozier-audiences	src/openapi.rs::Operation::audiences,src/openapi.rs::filter_by_audience[let keep = \x7cop: &Operation\x7c \{],src/openapi.rs::filter_by_audience[if labels\.is_empty\(\) \{],src/openapi.rs::filter_by_audience[\} else \{],src/openapi.rs::filter_by_audience[if slot\.as_ref\(\)\.is_some_and\(\x7cop\x7c !keep\(op\)\) \{]	
x-fern-or-crozier-ignore	operation.x-fern-ignore,schema.x-fern-ignore,operation.x-crozier-ignore,schema.x-crozier-ignore	src/openapi.rs::Operation::ignored,src/openapi.rs::Schema::ignored,src/openapi.rs::filter_ignored[for key in &ignored_schemas \{],src/openapi.rs::filter_ignored[if slot\.as_ref\(\)\.is_some_and\(\x7cop\x7c op\.ignored\(\)\) \{],src/openapi.rs::filter_ignored[if ignored_schemas\.contains\(key\) \{]	`filter_ignored`'s early return is the absence arm, taken by a document that ignores nothing
codegen-request-body-name-extension	operation.x-codegen-request-body-name	src/ir.rs::uses_codegen_request_body_name	
is-beta-extension	schema.x-is-beta	src/ir.rs::resolve_request_body[return hoist_fields\(&class, types\)\.map\(\x7cmut fields\x7c \{]	
fern-streaming-extension	operation.x-fern-streaming	src/openapi.rs::Operation::streaming,src/openapi.rs::Streaming::condition_property,src/ir.rs::stream_condition_body_source_names,src/ir.rs::stream_condition_variants	
parameter-name	parameter.name	src/ir.rs::header_param_stem,src/ir.rs::path_param_position,src/openapi.rs::normalize_parameters,src/emit.rs::url_arg[if stripped\.contains]	
parameter-in	parameter.in	src/ir.rs::build_endpoint[let has_unsupported_params],src/ir.rs::build_endpoint[^\s*PathParam \{],src/ir.rs::build_endpoint[^\s*QueryParam \{],src/ir.rs::build_endpoint[^\s*HeaderParam \{]	
parameter-description	parameter.description	src/emit.rs::push_path_param,src/emit.rs::raw_docstring[if let Some\(desc\) = &dp\.description],src/emit.rs::push_param_doc	
parameter-required	parameter.required	src/emit.rs::method_params[if required && !base\.starts_with],src/ir.rs::build_endpoint[&& p\.schema\.as_ref\(\)\.is_some_and],src/ir.rs::build_endpoint[^\s*HeaderParam \{],src/ir.rs::global_headers[if p\.location == Some\(ParameterLocation::Header\)]	
parameter-deprecated	parameter.deprecated	none	
parameter-allow-empty-value	parameter.allowEmptyValue	none	
parameter-style	parameter.style	src/ir.rs::build_endpoint[^\s*&& schema\.is_some_and\(\x7cschema\x7c \{],src/emit.rs::append_request_call_args[if qp\.comma_separated \{]	
parameter-explode	parameter.explode	src/ir.rs::build_endpoint[^\s*&& schema\.is_some_and\(\x7cschema\x7c \{],src/emit.rs::append_request_call_args[if qp\.comma_separated \{]	
parameter-allow-reserved	parameter.allowReserved	none	
parameter-schema	parameter.schema	src/ir.rs::InlineHoister::hoist_param_enum,src/ir.rs::build_endpoint[let type_ref = schema\.map_or],src/ir.rs::one_or_many_query_schema,src/openapi.rs::parameter_schemas,src/openapi.rs::reject_unemittable_parameters	
parameter-example	parameter.example	src/ir.rs::parameter_example_value,src/ir.rs::parameter_example,src/ir.rs::query_parameter_example	
parameter-examples	parameter.examples	src/ir.rs::parameter_example_value,src/ir.rs::component_example_value	
parameter-content	parameter.content	src/openapi.rs::parameter_schemas	
parameter-in-query	parameter.in=query	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/ir.rs::build_endpoint[let type_ref = schema\.map_or],src/emit.rs::method_params[\.map\(\x7cqp\x7c \{],src/emit.rs::append_request_call_args[if !ep\.query_params\.is_empty\(\) \{],src/ir.rs::query_parameter_example	
parameter-in-header	parameter.in=header	src/ir.rs::build_endpoint[^\s*HeaderParam \{],src/ir.rs::build_endpoint[\.filter_map\(\x7cp\x7c \{],src/ir.rs::global_headers[if p\.location == Some\(ParameterLocation::Header\)],src/ir.rs::header_param_stem,src/openapi.rs::reject_unemittable_parameters,src/emit.rs::append_request_call_args[for hp in &ep\.header_params \{],src/emit.rs::method_params[\.map\(\x7chp\x7c \{]	
parameter-in-path	parameter.in=path	src/ir.rs::build_endpoint[^\s*PathParam \{],src/ir.rs::build_endpoint[path_params\.sort_by],src/ir.rs::path_param_position,src/emit.rs::url_arg[if stripped\.contains],src/emit.rs::push_path_param,src/emit.rs::method_params[\.map\(\x7cpp\x7c \{]	
cookie-parameter	parameter.in=cookie	src/ir.rs::build_endpoint[let has_unsupported_params]	
parameter-style-label-path-scalar	parameter.style=label	src/ir.rs::build_endpoint[^\s*PathParam \{],src/emit.rs::url_arg[if stripped\.contains]	
parameter-style-simple-path-scalar	parameter.style=simple	src/ir.rs::build_endpoint[^\s*PathParam \{],src/emit.rs::url_arg[if stripped\.contains]	
parameter-style-simple-path-array	parameter.style=simple	src/ir.rs::build_endpoint[^\s*PathParam \{],src/emit.rs::url_arg[if stripped\.contains]	
parameter-style-simple-header-scalar	parameter.style=simple	src/ir.rs::build_endpoint[^\s*HeaderParam \{],src/emit.rs::append_request_call_args[for hp in &ep\.header_params \{]	
parameter-style-form-query-scalar	parameter.style=form	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/ir.rs::build_endpoint[^\s*&& schema\.is_some_and\(\x7cschema\x7c \{],src/emit.rs::append_request_call_args[if !ep\.query_params\.is_empty\(\) \{]	
parameter-style-form-query-array	parameter.style=form	src/ir.rs::build_endpoint[^\s*&& schema\.is_some_and\(\x7cschema\x7c \{],src/emit.rs::append_request_call_args[if qp\.comma_separated \{],src/emit.rs::method_params[if qp\.allow_multiple \{]	
parameter-style-form-query-object	parameter.style=form	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/emit.rs::append_request_call_args[\} else if qp\.convert \{]	
parameter-style-spacedelimited-query-scalar	parameter.style=spaceDelimited	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/emit.rs::append_request_call_args[if !ep\.query_params\.is_empty\(\) \{]	
parameter-style-spacedelimited-query-array	parameter.style=spaceDelimited	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/emit.rs::method_params[if qp\.allow_multiple \{]	
parameter-style-pipedelimited-query-scalar	parameter.style=pipeDelimited	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/emit.rs::append_request_call_args[if !ep\.query_params\.is_empty\(\) \{]	
parameter-style-deepobject-query-scalar	parameter.style=deepObject	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/emit.rs::append_request_call_args[if !ep\.query_params\.is_empty\(\) \{]	
parameter-style-deepobject-query-array	parameter.style=deepObject	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/emit.rs::method_params[if qp\.allow_multiple \{]	
deepObject-real-object	parameter.style=deepObject	src/ir.rs::build_endpoint[^\s*QueryParam \{],src/emit.rs::append_request_call_args[\} else if qp\.convert \{]	
param-content-query	parameter.content	src/openapi.rs::parameter_schemas,src/ir.rs::build_endpoint[^\s*QueryParam \{]	
param-content-header	parameter.content	src/openapi.rs::parameter_schemas,src/ir.rs::build_endpoint[^\s*HeaderParam \{]	
header-description	header.description	none	
header-required	header.required	none	
header-allow-empty-value	header.allowEmptyValue	none	
header-style	header.style	none	
header-explode	header.explode	none	
header-schema	header.schema	none	
header-example	header.example	none	
header-examples	header.examples	none	
header-content	header.content	none	
example-summary	example.summary	none	
example-description	example.description	none	
example-value	example.value	src/ir.rs::component_example_value[if let Some\(value\) = current\.value],src/ir.rs::media_example	
example-external-value	example.externalValue	none	
components-parameters	components.parameters	src/openapi.rs::resolve_parameter,src/openapi.rs::normalize_parameters	
components-headers	components.headers	none	
components-examples	components.examples	src/ir.rs::component_example_value	
parameter-reference	components.parameters	src/openapi.rs::resolve_parameter,src/openapi.rs::normalize_parameters,src/refs.rs::Resolver::resolve_parameter	
path-item-parameters	pathItem.parameters	src/openapi.rs::normalize_parameters,src/ir.rs::build_endpoint[path_params\.sort_by]	
operation-overrides-path-item-parameter	pathItem.parameters	src/openapi.rs::normalize_parameters	
title	schema.title	src/ir.rs::build_endpoint[\x7c\x7c op\.parameters\.iter\(\)\.any\(\x7cparameter\x7c \{],src/ir.rs::build_endpoint[^ {8}\.filter_map\(\x7cparameter\x7c \{],src/ir.rs::build_endpoint[&& media\.schema\.as_ref\(\)\.is_some_and\(\x7cschema\x7c \{]	
maximum	schema.maximum	none	
exclusive-maximum-boolean	schema.exclusiveMaximum	none	
exclusive-maximum-numeric	schema.exclusiveMaximum	none	
minimum	schema.minimum	none	
exclusive-minimum	schema.exclusiveMinimum	none	
max-length	schema.maxLength	src/ir.rs::query_parameter_example,src/ir.rs::resolve_request_body[\.is_some_and\(\x7cproperty\x7c \{]	
min-length	schema.minLength	src/ir.rs::query_parameter_example,src/ir.rs::resolve_request_body[\.is_some_and\(\x7cproperty\x7c \{]	
pattern	schema.pattern	src/ir.rs::query_parameter_example,src/ir.rs::build_endpoint[pattern_constrained: p\.schema\.as_ref\(\)\.is_some_and\(\x7cschema\x7c \{]	
max-items	schema.maxItems	none	
min-items	schema.minItems	none	
unique-items	schema.uniqueItems	src/ir.rs::array_uses_set	
max-properties	schema.maxProperties	none	
min-properties	schema.minProperties	none	
required	schema.required	src/ir.rs::Builder::collect_fields,src/ir.rs::InlineHoister::hoist_object_fields,src/ir.rs::member_fields,src/ir.rs::hoist_inline_object,src/ir.rs::hoist_error_body_types[for required in &schema\.required \{]	
enum	schema.enum	src/ir.rs::string_enum_values,src/ir.rs::build_enum,src/ir.rs::is_int_enum,src/ir.rs::Builder::add_named[if let Some\(values\) = string_enum_values\(schema\) \{],src/ir.rs::base_type_ref[if let Some\(values\) = string_enum_values\(schema\) \{],src/ir.rs::InlineHoister::hoist_param_enum[if let Some\(values\) = string_enum_values\(schema\) \{]	
type-single	schema.type	src/openapi.rs::TypeField::primary,src/ir.rs::base_type_ref[match schema\.ty\.as_ref\(\)\.and_then\(\x7ct\x7c t\.primary\(\)\) \{],src/ir.rs::scalar_body,src/ir.rs::is_object_type,src/ir.rs::is_string_type,src/ir.rs::declares_scalar_type	
allof	schema.allOf	src/ir.rs::member_fields,src/ir.rs::single_all_of_ref,src/ir.rs::sole_all_of_ref,src/ir.rs::described_all_of_ref,src/ir.rs::sole_inline_all_of,src/ir.rs::Builder::add_object[for member in schema\.all_of\.iter\(\)\.flatten\(\) \{]	
